Name,Distance_to_Past_Winner,AGE,Draft Pick,YEARS,G,GS,MPG,PTS,AST,RB,BLK,STL,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,AST/TO,PF,SOS,NAT_CH,AGE_was_nan,Draft Pick_was_nan,YEARS_was_nan,G_was_nan,GS_was_nan,MPG_was_nan,PTS_was_nan,AST_was_nan,RB_was_nan,BLK_was_nan,STL_was_nan,FG_was_nan,FGA_was_nan,FG%_was_nan,3P_was_nan,3PA_was_nan,3P%_was_nan,FT_was_nan,FTA_was_nan,FT%_was_nan,TOV_was_nan,AST/TO_was_nan,PF_was_nan,SOS_was_nan,NAT_CH_was_nan
Jaylen Wells,59.48,20,39,3,34,20.0,29.2,12.6,1.2,4.6,0.2,0.5,4.1,9.4,0.436,2.1,4.9,0.417,2.3,2.9,0.814,0.7,1.71,1.9,7.19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ajinça,59.68,20,51,1,28,62.15,24.6,9.3,0.8,3.3,0.0,0.5,3.0,8.0,0.375,1.6,5.3,0.309,1.7,2.1,0.797,0.6,1.33,2.2,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oso Ighodaro,60.34,21,40,4,109,72.0,26.7,9.9,2.3,5.3,1.2,0.8,4.2,6.7,0.624,0.0,0.0,0.0,1.5,2.4,0.616,1.4,1.64,2.2,9.14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Christie,61.16,18,46,1,33,26.0,30.1,11.3,2.2,3.6,0.3,0.6,3.8,9.4,0.403,2.1,5.4,0.391,1.6,2.0,0.791,1.2,1.83,1.6,6.4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reed Sheppard,61.36,20,3,1,33,5.0,28.9,12.5,4.5,4.1,0.7,2.5,4.3,8.0,0.536,2.3,4.4,0.521,1.6,2.0,0.831,2.0,2.25,1.9,7.46,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaRon Holmes II,61.64,21,22,3,102,102.0,32.5,17.1,1.9,7.5,2.1,0.7,6.2,10.5,0.588,0.4,1.1,0.358,4.4,6.5,0.671,1.9,1.0,1.9,3.07,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Dillingham,65.51,19,8,1,32,1.0,23.3,15.2,3.9,2.9,0.1,1.0,5.4,11.3,0.475,2.0,4.5,0.444,2.4,3.1,0.796,2.0,1.95,2.6,7.46,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Holland,65.71,19,5,1,15,14.0,30.3,18.5,2.8,6.7,1.1,2.1,7.3,15.5,0.474,0.7,3.1,0.239,2.0,2.9,0.682,3.5,0.8,3.1,6.46,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Harrison Ingram,71.06,21,48,3,102,98.0,30.7,11.1,2.9,7.2,0.4,1.0,4.0,9.7,0.41,1.3,3.9,0.345,1.8,2.9,0.624,1.9,1.53,1.8,8.72,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Jones,71.97,22,26,4,119,96.0,32.8,15.0,3.5,9.6,0.1,1.7,5.0,10.0,0.499,0.9,2.7,0.32,4.2,5.1,0.823,2.7,1.3,2.0,-3.97,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan da Silva,74.35,23,18,4,124,98.0,26.9,11.7,1.6,3.8,0.4,0.9,4.3,8.8,0.493,1.2,3.1,0.386,1.8,2.3,0.786,1.6,1.0,1.9,8.12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matas Buzelis,75.88,19,11,1,9,6.0,24.6,11.8,1.7,5.0,1.3,1.1,4.6,9.4,0.482,0.7,3.0,0.222,1.1,1.4,0.769,1.8,0.94,1.4,6.46,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Quinten Post,78.13,24,52,5,124,59.0,20.6,10.2,1.3,5.1,1.0,0.5,3.9,7.7,0.507,0.8,2.0,0.388,1.6,2.1,0.79,1.6,0.81,2.2,6.19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Smith,80.54,19,33,1,16,0.0,22.5,14.3,1.7,5.2,0.8,1.0,5.3,11.1,0.478,1.2,3.4,0.352,1.4,1.9,0.742,1.4,1.21,2.6,6.46,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ulrich Chomche,81.0,18,57,1,3,62.15,30.1,13.0,3.33,9.0,2.67,1.33,4.67,11.0,0.424,2.67,7.0,0.381,1.0,1.33,7.5,5.0,0.67,1.0,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pelle Larsson,82.31,23,44,4,133,74.0,26.1,9.6,2.8,3.8,0.3,0.8,3.1,6.4,0.49,1.0,2.6,0.397,2.3,2.9,0.813,1.9,1.47,2.5,8.54,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronny James,83.91,19,55,1,25,6.0,19.3,4.8,2.1,2.8,0.2,0.8,1.6,4.5,0.366,0.6,2.4,0.267,0.9,1.4,0.676,1.1,1.91,1.7,9.54,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Kolek,88.1,23,34,4,121,117.0,31.4,11.5,6.2,4.1,0.1,1.5,4.0,9.3,0.436,1.5,4.3,0.355,1.9,2.3,0.819,2.4,2.58,1.7,7.12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Edey,90.42,22,9,4,138,108.0,24.9,18.2,1.3,9.6,1.7,0.2,6.7,10.8,0.621,0.0,0.0,0.5,4.8,6.8,0.706,1.9,0.68,2.0,9.84,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Shead,99.07,21,45,4,138,108.0,27.5,9.7,5.0,2.8,0.3,1.6,3.6,8.8,0.412,0.9,3.1,0.296,1.5,2.0,0.772,1.8,2.78,1.9,6.61,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Spencer,102.84,24,53,5,132,116.0,32.3,14.2,3.3,4.3,0.2,1.6,4.9,10.5,0.468,2.1,5.1,0.417,2.2,2.5,0.878,1.2,2.75,1.9,-0.53,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrence Shannon Jr.,103.12,23,27,5,146,115.0,28.5,15.0,1.9,3.9,0.4,1.0,4.7,10.2,0.459,1.4,3.9,0.347,4.3,5.4,0.793,1.8,1.06,2.1,8.3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin McCullar Jr.,103.95,23,56,5,138,108.0,28.6,11.0,2.4,5.4,0.5,1.6,3.8,8.5,0.441,0.8,2.7,0.309,2.6,3.5,0.756,1.9,1.26,2.6,9.5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrique Freeman,105.13,23,50,5,132,122.0,27.8,14.0,1.3,10.6,1.4,0.6,5.3,8.5,0.628,0.2,0.5,0.35,3.1,4.6,0.67,1.9,0.68,2.5,-2.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anton Watson,107.58,23,54,5,151,94.0,23.7,9.6,2.0,5.2,0.6,1.4,3.8,6.5,0.586,0.3,1.0,0.307,1.7,2.7,0.627,1.1,1.82,2.3,5.12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Reeves,113.46,23,47,5,156,107.0,29.3,15.1,1.3,3.1,0.2,0.6,5.3,11.8,0.452,2.0,5.1,0.384,2.4,3.1,0.801,1.6,0.81,1.7,3.73,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baylor Scheierman,126.91,23,30,5,162,133.0,31.6,13.8,3.6,7.8,0.2,0.9,4.7,10.2,0.461,2.2,5.6,0.39,2.2,2.6,0.82,2.1,1.71,1.9,1.85,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristen Newton,134.36,23,49,5,157,143.0,31.6,12.8,4.9,5.1,0.3,1.2,3.9,9.6,0.402,1.4,4.1,0.327,3.7,4.5,0.831,2.5,1.96,2.0,5.1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
